SUBSET,QUESTION,A,B,C,D,E,TRUE
B0B01MA2,"Určete, zda je mocninná řada ∑(n! x^n) konvergentní pro x = 1.","Ne","Ano","Pouze pro x < 1","Pouze pro x > 1","Nelze určit",A
B0B01MA2,"Jaký je výsledek dvojného integrálu ∫∫_D (y) dA, kde D je kruh s poloměrem 1 a středem v počátku?","0","π","2π","1","1/2",A
B0B01MA2,"Určete, zda je mocninná řada ∑(x^n / n³) konvergentní pro x = -1.","Ano","Ne","Pouze pro x > -1","Pouze pro x < -1","Nelze určit",A
B0B01MA2,"Jaký je výsledek trojného integrálu ∫∫∫_V (y) dV, kde V je koule s poloměrem 1 a středem v počátku?","0","π","2π","1","1/2",A
B0B01MA2,"Určete, zda je mocninná řada ∑(x^n / n) konvergentní pro x = -1.","Ano","Ne","Pouze pro x > -1","Pouze pro x < -1","Nelze určit",A
B0B01MA2,"Jaký je výsledek dvojného integrálu ∫∫_D (x + y) dA, kde D je trojúhelník s vrcholy (0,0), (1,0), (0,1)?","1/6","1/3","1/2","0","1",A
B0B01PST,"Jaký je střední hodnota binomického rozdělení s parametry n a p?","n p","n p (1 - p)","p","n","1 - p",A
B0B01PST,"Určete, zda je stacionární rozdělení Markovského řetězce s maticí přechodu P = [0.5, 0.5; 0.5, 0.5].","[0.5, 0.5]","[0, 1]","[1, 0]","[0.25, 0.75]","Neexistuje",A
B0B01PST,"Jaký je odhad parametru λ exponenciálního rozdělení metodou maximální věrohodnosti pro vzorek x₁, x₂, ..., xₙ?","1 / průměr(x)","průměr(x)","medián(x)","max(x)","min(x)",A
B0B01PST,"Určete, zda je testování hypotézy H₀: μ = 0 proti H₁: μ ≠ 0 pro normální rozdělení s neznámým σ².","t-test","z-test","χ²-test","F-test","žádný z výše uvedených",A
B0B01PST,"Jaký je výsledek pro pravděpodobnost P(X > 2) pro X ~ N(0,1)?","1 - Φ(2)","Φ(2)","1 - Φ(0)","Φ(0)","0.5",A
B0B01PST,"Určete, zda je Markovský řetězec s maticí přechodu P = [0, 1; 1, 0] periodický.","Ano, perioda 2","Ne","Ano, perioda 1","Ano, perioda 3","Nelze určit",A
B0B01PST,"Jaký je výsledek pro kovarianci dvou náhodných veličin X a Y, pokud jsou nezávislé?","0","1","E(X) E(Y)","E(X Y)","Var(X) Var(Y)",A
B0B01PST,"Určete, zda je odhad parametru θ = (1/n) ∑ x_i nezkreslený pro θ v Poissonově rozdělení.","Ano","Ne","Pouze pro n > 1","Pouze pro n < 1","Nelze určit",A
B0B01PST,"Jaký je výsledek pro P(X = k) pro X ~ Bin(n, p)?","C(n, k) p^k (1 - p)^(n - k)","p^k (1 - p)^(n - k)","C(n, k) p^(n - k) (1 - p)^k","p^(n - k) (1 - p)^k","C(n, k) p^k",A
B0B01PST,"Určete, zda je Markovský řetězec s maticí přechodu P = [1, 0; 0, 1] ireducibilní.","Ano","Ne","Pouze pro stav 1","Pouze pro stav 2","Nelze určit",B
B0B01PST,"Jaký je rozptyl binomického rozdělení s parametry n a p?","n p (1 - p)","n p","p","n","1 - p",A
B0B01PST,"Určete, zda je stacionární rozdělení Markovského řetězce s maticí přechodu P = [0.2, 0.8; 0.6, 0.4].","[0.428, 0.572]","[0.5, 0.5]","[0, 1]","[1, 0]","Neexistuje",A
B0B01PST,"Jaký je odhad parametru p binomického rozdělení metodou maximální věrohodnosti pro vzorek x₁, x₂, ..., xₙ?","průměr(x) / n","průměr(x)","medián(x)","max(x)","min(x)",A
B0B01PST,"Určete, zda je testování hypotézy H₀: σ² = 1 proti H₁: σ² ≠ 1 pro normální rozdělení.","χ²-test","t-test","z-test","F-test","žádný z výše uvedených",A
B0B01PST,"Jaký je výsledek pro pravděpodobnost P(X < 1) pro X ~ N(0,1)?","Φ(1)","1 - Φ(1)","Φ(0)","1 - Φ(0)","0.5",A
B0B01PST,"Určete, zda je Markovský řetězec s maticí přechodu P = [0.5, 0.5; 0.5, 0.5] periodický.","Ne","Ano, perioda 1","Ano, perioda 2","Ano, perioda 3","Nelze určit",A
B0B01PST,"Jaký je výsledek pro korelační koeficient dvou náhodných veličin X a Y, pokud jsou nezávislé?","0","1","-1","E(X) E(Y)","Var(X) Var(Y)",A
B0B01PST,"Určete, zda je odhad parametru θ = (1/n) ∑ x_i nezkreslený pro θ v normálním rozdělení.","Ano","Ne","Pouze pro n > 1","Pouze pro n < 1","Nelze určit",A
B0B01PST,"Jaký je výsledek pro P(X = k) pro X ~ Poisson(λ)?","(λ^k / k!) e^{-λ}","λ^k e^{-λ}","(λ^k / k!)","e^{-λ}","λ^k",A
B0B01PST,"Určete, zda je Markovský řetězec s maticí přechodu P = [0.3, 0.7; 0.4, 0.6] ireducibilní.","Ano","Ne","Pouze pro stav 1","Pouze pro stav 2","Nelze určit",A
B4B36PDV,"Jaký je hlavní rozdíl mezi paralelním a distribuovaným systémem?","Paralelní systém má sdílenou paměť, distribuovaný systém ne.","Distribuovaný systém má sdílenou paměť, paralelní systém ne.","Paralelní systém je vždy rychlejší.","Distribuovaný systém je vždy pomalejší.","Žádný z výše uvedených.",A
B4B36PDV,"Určete, zda je algoritmus pro synchronizaci hodin v distribuovaném systému.","NTP","TCP","UDP","FTP","HTTP",A
B4B36PDV,"Jaký je výsledek pro počet procesorů v systému s architekturou NUMA?","Více než jeden","Pouze jeden","Žádný","Nekonečno","Nelze určit",A
B4B36PDV,"Určete, zda je algoritmus pro volbu koordinátora v distribuovaném systému.","Bully algoritmus","Dijkstraův algoritmus","Kruskalův algoritmus","Floyd-Warshallův algoritmus","Žádný z výše uvedených",A
B4B36PDV,"Jaký je hlavní problém v paralelních systémech?","Synchronizace","Komunikace","Paměť","Procesory","Žádný z výše uvedených",A
B4B36PDV,"Určete, zda je model pro paralelní programování.","MPI","HTTP","FTP","TCP","UDP",A
B4B36PDV,"Jaký je výsledek pro počet uzlů v distribuovaném systému?","Více než jeden","Pouze jeden","Žádný","Nekonečno","Nelze určit",A
B4B36PDV,"Určete, zda je algoritmus pro detekci deadlocku v distribuovaném systému.","Bankéřův algoritmus","Dijkstraův algoritmus","Kruskalův algoritmus","Floyd-Warshallův algoritmus","Žádný z výše uvedených",A
B4B36PDV,"Jaký je hlavní cíl v paralelních systémech?","Zvýšení výkonu","Snížení výkonu","Zvýšení paměti","Snížení paměti","Žádný z výše uvedených",A
B4B36PDV,"Určete, zda je prostředek pro implementaci paralelních systémů.","OpenMP","HTTP","FTP","TCP","UDP",A
B4B36PDV,"Jaký je hlavní výhoda paralelních systémů?","Zvýšení výkonu","Snížení výkonu","Zvýšení paměti","Snížení paměti","Žádný z výše uvedených",A
B4B36PDV,"Určete, zda je algoritmus pro distribuované vyhledávání.","MapReduce","Dijkstraův algoritmus","Kruskalův algoritmus","Floyd-Warshallův algoritmus","Žádný z výše uvedených",A
B4B36PDV,"Jaký je výsledek pro počet procesorů v systému s architekturou UMA?","Více než jeden","Pouze jeden","Žádný","Nekonečno","Nelze určit",A
B4B36PDV,"Určete, zda je algoritmus pro synchronizaci v distribuovaném systému.","Lamportův algoritmus","Dijkstraův algoritmus","Kruskalův algoritmus","Floyd-Warshallův algoritmus","Žádný z výše uvedených",A
B4B36PDV,"Jaký je hlavní problém v distribuovaných systémech?","Komunikace","Synchronizace","Paměť","Procesory","Žádný z výše uvedených",A
B4B36PDV,"Určete, zda je model pro distribuované programování.","RPC","HTTP","FTP","TCP","UDP",A
B4B36PDV,"Jaký je výsledek pro počet uzlů v paralelním systému?","Více než jeden","Pouze jeden","Žádný","Nekonečno","Nelze určit",A
B4B36PDV,"Určete, zda je algoritmus pro detekci terminace v distribuovaném systému.","Dijkstra-Scholten algoritmus","Dijkstraův algoritmus","Kruskalův algoritmus","Floyd-Warshallův algoritmus","Žádný z výše uvedených",A
B4B36PDV,"Jaký je hlavní cíl v distribuovaných systémech?","Spolehlivost","Zvýšení výkonu","Snížení výkonu","Zvýšení paměti","Snížení paměti",A
B4B36PDV,"Určete, zda je prostředek pro implementaci distribuovaných systémů.","CORBA","HTTP","FTP","TCP","UDP",A
B0B33OPT,"Jaký je výsledek pro minimum funkce f(x) = x²?","0","1","∞","-∞","Neexistuje",A
B0B33OPT,"Určete, zda je množina {x | x ≥ 0} konvexní.","Ano","Ne","Pouze pro x > 0","Pouze pro x < 0","Nelze určit",A
B0B33OPT,"Jaký je výsledek pro dualitu v lineárním programování?","Max c^T x = min b^T y","Min c^T x = max b^T y","Max c^T x = max b^T y","Min c^T x = min b^T y","Žádný z výše uvedených",A
B0B33OPT,"Určete, zda je funkce f(x) = x² konvexní.","Ano","Ne","Pouze pro x > 0","Pouze pro x < 0","Nelze určit",A
B0B33OPT,"Jaký je výsledek pro iterační algoritmus pro nalezení lokálního extrému?","Gradientní metoda","Newtonova metoda","Simplexová metoda","Lagrangeova metoda","Žádný z výše uvedených",A
B0B33OPT,"Určete, zda je množina {x | x = 0} konvexní.","Ano","Ne","Pouze pro x = 0","Pouze pro x ≠ 0","Nelze určit",A
B0B33OPT,"Jaký je výsledek pro lineární programování s omezeními?","Simplexová metoda","Gradientní metoda","Newtonova metoda","Lagrangeova metoda","Žádný z výše uvedených",A
B0B33OPT,"Určete, zda je funkce f(x) = |x| konvexní.","Ano","Ne","Pouze pro x > 0","Pouze pro x < 0","Nelze určit",A
B0B33OPT,"Jaký je výsledek pro dualitu v konvexní optimalizaci?","Min f(x) = max g(y)","Max f(x) = min g(y)","Min f(x) = min g(y)","Max f(x) = max g(y)","Žádný z výše uvedených",A
B0B33OPT,"Určete, zda je množina {x | x² ≤ 1} konvexní.","Ano","Ne","Pouze pro x > 0","Pouze pro x < 0","Nelze určit",A
B0B33OPT,"Jaký je výsledek pro maximum funkce f(x) = -x²?","0","1","∞","-∞","Neexistuje",A
B0B33OPT,"Určete, zda je množina {x | x ≤ 0} konvexní.","Ano","Ne","Pouze pro x < 0","Pouze pro x > 0","Nelze určit",A
B0B33OPT,"Jaký je výsledek pro dualitu v lineárním programování s omezeními?","Max c^T x = min b^T y","Min c^T x = max b^T y","Max c^T x = max b^T y","Min c^T x = min b^T y","Žádný z výše uvedených",A
B0B33OPT,"Určete, zda je funkce f(x) = x^4 konvexní.","Ano","Ne","Pouze pro x > 0","Pouze pro x < 0","Nelze určit",A
B0B33OPT,"Jaký je výsledek pro iterační algoritmus pro nalezení globálního extrému?","Simplexová metoda","Gradientní metoda","Newtonova metoda","Lagrangeova metoda","Žádný z výše uvedených",A
B0B33OPT,"Určete, zda je množina {x | x = 1} konvexní.","Ano","Ne","Pouze pro x = 1","Pouze pro x ≠ 1","Nelze určit",A
B0B33OPT,"Jaký je výsledek pro lineární programování bez omezení?","Nelze vyřešit","Triviální řešení","Nekonečno řešení","Jedno řešení","Žádný z výše uvedených",A
B0B33OPT,"Určete, zda je funkce f(x) = -|x| konvexní.","Ne","Ano","Pouze pro x > 0","Pouze pro x < 0","Nelze určit",A
B0B33OPT,"Jaký je výsledek pro dualitu v nekonvexní optimalizaci?","Obecně neplatí","Vždy platí","Platí pouze pro konvexní funkce","Platí pouze pro lineární funkce","Žádný z výše uvedených",A
B0B33OPT,"Určete, zda je množina {x | x² ≥ 1} konvexní.","Ne","Ano","Pouze pro x > 1","Pouze pro x < -1","Nelze určit",A








